ID,cr_ID,assembly_time,eq_ID,process_time,ramp,servo_defect,data_defect,status
HDDSN00037,CRSTR01R,2015-03-09 01:46:00,EGRWT0107,2015-03-09 02:54:10,4473.0,2561.0,1611.0,pass
HDDSN00038,CRSTR01M,2015-03-11 05:44:00,EGRWT0112,2015-03-11 06:30:11,6664.0,4359.0,7002.0,fail
HDDSN00039,CRSTR01P,2015-03-11 03:30:00,EGRWT0112,2015-03-11 04:50:25,2255.0,4298.0,3083.0,pass
HDDSN00042,CRSTR01S,2015-03-06 17:52:00,EGRWT0101,2015-03-06 18:43:47,1509.0,4834.0,1645.0,pass
HDDSN00043,CRSTR01Q,2015-03-06 16:46:00,EGRWT0111,2015-03-06 17:17:18,3150.0,5095.0,1955.0,pass
HDDSN00044,CRSTR01K,2015-03-07 04:00:00,EGRWT0102,2015-03-07 05:00:18,1027.0,3092.0,3189.0,fail
HDDSN00045,CRSTR01L,2015-03-05 12:16:00,EGRWT0114,2015-03-05 13:12:42,9366.0,4749.0,1016.0,fail
HDDSN00046,CRSTR01P,2015-03-05 21:32:00,EGRWT0108,2015-03-05 23:07:29,7742.0,5739.0,3788.0,pass
HDDSN00047,CRSTR01R,2015-03-10 06:31:00,EGRWT0110,2015-03-10 07:38:19,1014.0,1715.0,1849.0,pass
HDDSN00049,CRSTR01I,2015-03-09 18:44:00,EGRWT0102,2015-03-09 20:19:33,3023.0,3726.0,4011.0,pass
HDDSN00053,CRSTR01G,2015-03-10 17:33:00,EGRWT0102,2015-03-10 20:17:14,1001.0,3932.0,1778.0,fail
HDDSN00054,CRSTR01K,2015-03-06 02:11:00,EGRWT0103,2015-03-06 05:15:10,1517.0,4176.0,3317.0,fail
HDDSN00056,CRSTR01D,2015-03-11 23:29:00,EGRWT0101,2015-03-12 01:09:23,1441.0,4043.0,1478.0,pass
HDDSN00057,CRSTR01M,2015-03-05 19:52:00,EGRWT0103,2015-03-05 20:55:37,1986.0,5014.0,3719.0,pass
HDDSN00058,CRSTR01O,2015-03-07 11:59:00,EGRWT0106,2015-03-07 12:55:48,1204.0,3258.0,3932.0,fail
HDDSN00060,CRSTR01T,2015-03-11 06:13:00,EGRWT0100,2015-03-11 10:25:12,1933.0,4198.0,3461.0,pass
HDDSN00062,CRSTR01A,2015-03-11 21:27:00,EGRWT0103,2015-03-11 23:17:42,1591.0,4307.0,2576.0,pass
HDDSN00063,CRSTR01A,2015-03-07 17:21:00,EGRWT0106,2015-03-07 18:30:23,1863.0,4357.0,2746.0,pass
HDDSN00064,CRSTR01T,2015-03-10 05:41:00,EGRWT0103,2015-03-10 06:49:47,1255.0,3766.0,1683.0,pass
HDDSN00065,CRSTR01C,2015-03-10 22:51:00,EGRWT0101,2015-03-10 23:21:36,5101.0,8196.0,2229.0,pass
HDDSN00066,CRSTR01D,2015-03-11 04:02:00,EGRWT0107,2015-03-11 05:27:47,1216.0,3589.0,1815.0,fail
HDDSN00068,CRSTR01E,2015-03-08 11:16:00,EGRWT0109,2015-03-08 13:06:03,1447.0,3849.0,2115.0,pass
HDDSN00069,CRSTR01G,2015-03-05 04:51:00,EGRWT0112,2015-03-05 06:06:12,1161.0,7946.0,1625.0,pass
HDDSN00070,CRSTR01B,2015-03-10 06:06:00,EGRWT0105,2015-03-10 07:07:36,1070.0,7992.0,6900.0,fail
HDDSN00074,CRSTR01L,2015-03-10 20:55:00,EGRWT0103,2015-03-10 21:41:15,3413.0,5681.0,5267.0,fail
HDDSN00075,CRSTR01A,2015-03-08 15:25:00,EGRWT0101,2015-03-08 16:37:36,5016.0,3940.0,1821.0,pass
HDDSN00076,CRSTR01P,2015-03-07 01:24:00,EGRWT0111,2015-03-07 02:38:59,1484.0,4211.0,2919.0,fail
HDDSN00077,CRSTR01Q,2015-03-06 10:04:00,EGRWT0105,2015-03-06 10:38:00,1012.0,3553.0,1022.0,pass
HDDSN00079,CRSTR01K,2015-03-11 11:02:00,EGRWT0113,2015-03-11 12:03:12,1015.0,8154.0,3022.0,fail
HDDSN00080,CRSTR01I,2015-03-09 03:34:00,EGRWT0101,2015-03-09 07:13:55,3750.0,3883.0,1212.0,fail
HDDSN00081,CRSTR01O,2015-03-05 22:59:00,EGRWT0107,2015-03-06 00:23:16,5056.0,4327.0,1600.0,pass
HDDSN00082,CRSTR01K,2015-03-07 16:00:00,EGRWT0101,2015-03-07 17:25:19,7192.0,5214.0,5217.0,fail
HDDSN00083,CRSTR01N,2015-03-05 13:24:00,EGRWT0112,2015-03-05 14:57:14,1018.0,3222.0,1569.0,pass
HDDSN00084,CRSTR01R,2015-03-07 04:33:00,EGRWT0105,2015-03-07 06:16:21,1225.0,7934.0,2486.0,pass
HDDSN00085,CRSTR01D,2015-03-08 17:53:00,EGRWT0110,2015-03-08 20:14:56,1116.0,3344.0,2597.0,pass
HDDSN00086,CRSTR01I,2015-03-10 13:50:00,EGRWT0108,2015-03-10 14:45:36,2696.0,5082.0,2777.0,pass
HDDSN00087,CRSTR01P,2015-03-11 08:20:00,EGRWT0108,2015-03-11 09:32:34,1013.0,5110.0,2104.0,pass
HDDSN00088,CRSTR01Q,2015-03-05 06:55:00,EGRWT0100,2015-03-05 07:44:11,1477.0,3069.0,3296.0,pass
HDDSN00089,CRSTR01Q,2015-03-09 11:39:00,EGRWT0107,2015-03-09 14:20:04,2602.0,2700.0,3032.0,pass
HDDSN00091,CRSTR01P,2015-03-06 12:07:00,EGRWT0104,2015-03-06 13:39:04,1165.0,4583.0,1508.0,pass
HDDSN00092,CRSTR01R,2015-03-06 23:27:00,EGRWT0101,2015-03-07 00:01:07,1074.0,2622.0,3357.0,pass
HDDSN00093,CRSTR01K,2015-03-11 14:13:00,EGRWT0108,2015-03-11 15:37:00,1547.0,3591.0,3302.0,pass
HDDSN00095,CRSTR01N,2015-03-07 17:56:00,EGRWT0102,2015-03-07 19:01:18,1435.0,3412.0,1899.0,fail
HDDSN00097,CRSTR01F,2015-03-05 23:13:00,EGRWT0114,2015-03-06 00:59:31,1025.0,3070.0,1634.0,pass
HDDSN00098,CRSTR01C,2015-03-05 11:21:00,EGRWT0113,2015-03-05 12:29:03,1461.0,4555.0,2717.0,pass
HDDSN00099,CRSTR01E,2015-03-10 16:18:00,EGRWT0100,2015-03-10 17:42:18,1274.0,3320.0,3024.0,pass
HDDSN00100,CRSTR01Q,2015-03-07 03:42:00,EGRWT0109,2015-03-07 04:34:56,1329.0,3170.0,6853.0,fail
HDDSN00101,CRSTR01S,2015-03-11 01:33:00,EGRWT0109,2015-03-11 03:40:48,1124.0,5219.0,2427.0,pass
HDDSN00103,CRSTR01G,2015-03-05 09:53:00,EGRWT0103,2015-03-05 10:46:51,1013.0,4860.0,2692.0,pass
HDDSN00104,CRSTR01P,2015-03-06 06:46:00,EGRWT0114,2015-03-06 08:13:10,2578.0,3393.0,2539.0,pass
HDDSN00105,CRSTR01M,2015-03-09 03:46:00,EGRWT0107,2015-03-09 06:49:37,1026.0,3347.0,4217.0,fail
HDDSN00106,CRSTR01S,2015-03-08 18:03:00,EGRWT0114,2015-03-08 18:59:11,1499.0,5680.0,1475.0,pass
HDDSN00108,CRSTR01L,2015-03-07 23:46:00,EGRWT0109,2015-03-08 00:44:06,1008.0,4023.0,1266.0,fail
HDDSN00109,CRSTR01M,2015-03-09 09:02:00,EGRWT0103,2015-03-09 10:01:51,1333.0,5042.0,3068.0,pass
HDDSN00110,CRSTR01F,2015-03-09 16:47:00,EGRWT0110,2015-03-09 18:28:36,1355.0,5619.0,2047.0,pass
HDDSN00111,CRSTR01T,2015-03-11 16:48:00,EGRWT0104,2015-03-11 17:24:10,2084.0,5340.0,4157.0,pass
HDDSN00112,CRSTR01G,2015-03-05 17:57:00,EGRWT0109,2015-03-05 20:17:46,1013.0,2552.0,1795.0,pass
HDDSN00113,CRSTR01M,2015-03-10 09:53:00,EGRWT0109,2015-03-10 10:55:54,3318.0,5128.0,2399.0,pass
HDDSN00114,CRSTR01N,2015-03-05 11:34:00,EGRWT0110,2015-03-05 12:20:50,6555.0,8134.0,1303.0,fail
HDDSN00116,CRSTR01K,2015-03-10 19:15:00,EGRWT0105,2015-03-10 20:43:29,1251.0,4267.0,2031.0,pass
HDDSN00117,CRSTR01I,2015-03-09 10:31:00,EGRWT0107,2015-03-09 12:12:46,1083.0,4822.0,4958.0,fail
HDDSN00118,CRSTR01C,2015-03-10 05:38:00,EGRWT0108,2015-03-10 07:43:21,1300.0,4569.0,1711.0,pass
HDDSN00120,CRSTR01Q,2015-03-06 03:59:00,EGRWT0106,2015-03-06 06:01:49,2510.0,3079.0,2879.0,pass
HDDSN00121,CRSTR01J,2015-03-08 02:28:00,EGRWT0108,2015-03-08 05:49:07,2761.0,4458.0,4303.0,pass
HDDSN00122,CRSTR01E,2015-03-09 01:37:00,EGRWT0110,2015-03-09 02:18:06,1389.0,2977.0,1107.0,pass
HDDSN00123,CRSTR01S,2015-03-07 02:00:00,EGRWT0113,2015-03-07 03:25:23,1082.0,5436.0,5202.0,fail
HDDSN00125,CRSTR01S,2015-03-07 03:45:00,EGRWT0104,2015-03-07 05:34:35,4582.0,5235.0,1210.0,fail
HDDSN00128,CRSTR01A,2015-03-09 13:05:00,EGRWT0114,2015-03-09 15:05:25,1765.0,4135.0,6439.0,fail
HDDSN00129,CRSTR01G,2015-03-09 23:11:00,EGRWT0102,2015-03-10 01:34:11,1055.0,4938.0,2976.0,pass
HDDSN00130,CRSTR01S,2015-03-07 03:20:00,EGRWT0111,2015-03-07 04:44:00,1156.0,5377.0,6972.0,fail
HDDSN00131,CRSTR01P,2015-03-11 14:09:00,EGRWT0105,2015-03-11 16:17:00,1114.0,4156.0,2923.0,pass
HDDSN00132,CRSTR01D,2015-03-05 23:22:00,EGRWT0100,2015-03-06 00:22:46,4766.0,3689.0,4056.0,pass
HDDSN00133,CRSTR01R,2015-03-08 11:39:00,EGRWT0102,2015-03-08 12:49:45,1189.0,4925.0,5625.0,fail
HDDSN00134,CRSTR01P,2015-03-05 14:30:00,EGRWT0106,2015-03-05 16:07:25,5521.0,3513.0,2062.0,pass
HDDSN00135,CRSTR01N,2015-03-09 05:29:00,EGRWT0104,2015-03-09 07:57:48,1402.0,2481.0,3831.0,pass
HDDSN00136,CRSTR01H,2015-03-09 09:45:00,EGRWT0111,2015-03-09 10:39:31,2007.0,3204.0,5078.0,pass
HDDSN00137,CRSTR01O,2015-03-05 04:14:00,EGRWT0101,2015-03-05 06:35:43,5073.0,3607.0,3711.0,pass
HDDSN00139,CRSTR01J,2015-03-07 09:01:00,EGRWT0104,2015-03-07 11:06:10,1003.0,4209.0,3613.0,fail
HDDSN00140,CRSTR01S,2015-03-11 03:10:00,EGRWT0103,2015-03-11 05:41:15,3524.0,3110.0,3903.0,fail
HDDSN00141,CRSTR01H,2015-03-11 12:42:00,EGRWT0107,2015-03-11 14:41:28,4000.0,3266.0,1742.0,pass
HDDSN00142,CRSTR01C,2015-03-11 14:05:00,EGRWT0112,2015-03-11 15:32:20,1398.0,3464.0,2871.0,pass
HDDSN00143,CRSTR01R,2015-03-09 07:33:00,EGRWT0105,2015-03-09 09:11:22,1960.0,3039.0,1787.0,pass
HDDSN00144,CRSTR01R,2015-03-10 02:12:00,EGRWT0101,2015-03-10 04:40:25,3023.0,4582.0,3420.0,pass
HDDSN00145,CRSTR01D,2015-03-09 22:58:00,EGRWT0108,2015-03-10 00:24:00,1121.0,3044.0,5442.0,pass
HDDSN00147,CRSTR01M,2015-03-11 02:46:00,EGRWT0103,2015-03-11 05:03:43,5196.0,2928.0,2507.0,pass
HDDSN00148,CRSTR01L,2015-03-09 23:54:00,EGRWT0105,2015-03-10 00:49:02,1636.0,4175.0,2520.0,pass
HDDSN00149,CRSTR01A,2015-03-07 19:21:00,EGRWT0111,2015-03-07 20:42:08,1185.0,4890.0,2519.0,fail
HDDSN00150,CRSTR01N,2015-03-11 02:32:00,EGRWT0110,2015-03-11 04:12:46,1112.0,4650.0,2925.0,fail
HDDSN00151,CRSTR01P,2015-03-10 19:35:00,EGRWT0108,2015-03-10 20:50:09,9811.0,8062.0,1896.0,fail
HDDSN00154,CRSTR01Q,2015-03-09 21:38:00,EGRWT0111,2015-03-09 23:03:38,1048.0,1996.0,1846.0,pass
HDDSN00155,CRSTR01S,2015-03-06 15:00:00,EGRWT0101,2015-03-06 16:41:36,3723.0,2571.0,6278.0,pass
HDDSN00156,CRSTR01N,2015-03-05 07:26:00,EGRWT0101,2015-03-05 08:11:47,1366.0,3334.0,2997.0,pass
HDDSN00157,CRSTR01E,2015-03-09 13:24:00,EGRWT0112,2015-03-09 14:40:45,1064.0,3839.0,1519.0,pass
HDDSN00158,CRSTR01S,2015-03-06 12:51:00,EGRWT0107,2015-03-06 14:00:18,3069.0,3218.0,2868.0,pass
HDDSN00159,CRSTR01J,2015-03-08 17:39:00,EGRWT0102,2015-03-08 18:57:38,6514.0,5774.0,2928.0,pass
HDDSN00160,CRSTR01Q,2015-03-09 14:48:00,EGRWT0109,2015-03-09 16:37:48,1698.0,5381.0,4858.0,fail
HDDSN00161,CRSTR01C,2015-03-05 14:08:00,EGRWT0113,2015-03-05 15:39:27,6694.0,4002.0,3772.0,pass
HDDSN00163,CRSTR01G,2015-03-11 08:06:00,EGRWT0101,2015-03-11 10:39:50,1102.0,3516.0,4809.0,pass
HDDSN00164,CRSTR01L,2015-03-09 04:53:00,EGRWT0110,2015-03-09 06:09:35,1258.0,4218.0,6822.0,fail
HDDSN00165,CRSTR01M,2015-03-11 23:39:00,EGRWT0100,2015-03-12 01:08:36,1093.0,4601.0,3325.0,pass
HDDSN00166,CRSTR01B,2015-03-05 09:56:00,EGRWT0105,2015-03-05 12:22:17,1801.0,4703.0,1349.0,pass
HDDSN00167,CRSTR01T,2015-03-07 23:30:00,EGRWT0105,2015-03-08 00:03:57,1848.0,4570.0,3768.0,fail
HDDSN00168,CRSTR01B,2015-03-06 14:37:00,EGRWT0109,2015-03-06 15:29:35,1055.0,4724.0,2213.0,pass
HDDSN00169,CRSTR01Q,2015-03-07 13:51:00,EGRWT0112,2015-03-07 14:45:50,1402.0,6163.0,3655.0,fail
HDDSN00170,CRSTR01A,2015-03-05 21:35:00,EGRWT0103,2015-03-05 23:17:06,2515.0,3767.0,4508.0,pass
HDDSN00171,CRSTR01E,2015-03-08 10:41:00,EGRWT0113,2015-03-08 11:50:42,1033.0,5238.0,3025.0,pass
HDDSN00172,CRSTR01Q,2015-03-09 04:53:00,EGRWT0109,2015-03-09 06:04:30,11577.0,2919.0,1807.0,pass
HDDSN00173,CRSTR01G,2015-03-11 19:03:00,EGRWT0101,2015-03-11 21:19:30,1547.0,3056.0,4778.0,pass
HDDSN00174,CRSTR01O,2015-03-10 21:33:00,EGRWT0112,2015-03-11 00:15:12,1028.0,5563.0,3682.0,fail
HDDSN00175,CRSTR01N,2015-03-10 16:31:00,EGRWT0113,2015-03-10 18:58:32,11249.0,3256.0,6948.0,pass
HDDSN00176,CRSTR01N,2015-03-05 07:40:00,EGRWT0110,2015-03-05 08:47:22,1001.0,5231.0,1232.0,fail
HDDSN00177,CRSTR01T,2015-03-07 13:17:00,EGRWT0105,2015-03-07 14:06:56,1273.0,4196.0,3161.0,fail
HDDSN00178,CRSTR01Q,2015-03-06 12:24:00,EGRWT0112,2015-03-06 13:29:24,1001.0,5682.0,2992.0,pass
HDDSN00179,CRSTR01J,2015-03-05 09:40:00,EGRWT0105,2015-03-05 11:05:35,1858.0,3140.0,2005.0,pass
HDDSN00180,CRSTR01E,2015-03-11 11:43:00,EGRWT0111,2015-03-11 12:40:50,2539.0,2432.0,2615.0,pass
HDDSN00182,CRSTR01A,2015-03-06 01:55:00,EGRWT0107,2015-03-06 02:39:30,2519.0,6477.0,5072.0,fail
HDDSN00183,CRSTR01P,2015-03-10 02:41:00,EGRWT0109,2015-03-10 04:53:56,1609.0,3018.0,1494.0,pass
HDDSN00186,CRSTR01K,2015-03-08 10:26:00,EGRWT0114,2015-03-08 11:57:34,1410.0,5783.0,3785.0,pass
HDDSN00187,CRSTR01Q,2015-03-05 11:35:00,EGRWT0109,2015-03-05 13:45:34,4667.0,3403.0,6728.0,pass
HDDSN00188,CRSTR01S,2015-03-11 16:42:00,EGRWT0103,2015-03-11 18:42:11,1003.0,3521.0,1346.0,pass
HDDSN00189,CRSTR01B,2015-03-06 11:23:00,EGRWT0105,2015-03-06 12:33:50,1127.0,1873.0,2963.0,pass
HDDSN00190,CRSTR01B,2015-03-09 19:23:00,EGRWT0106,2015-03-09 20:12:14,1464.0,6429.0,3423.0,pass
HDDSN00191,CRSTR01P,2015-03-07 20:03:00,EGRWT0103,2015-03-07 20:50:37,1018.0,4159.0,4906.0,fail
HDDSN00192,CRSTR01A,2015-03-06 12:06:00,EGRWT0112,2015-03-06 13:25:05,1569.0,5329.0,2050.0,pass
HDDSN00193,CRSTR01E,2015-03-07 09:14:00,EGRWT0113,2015-03-07 10:40:57,1064.0,5227.0,4309.0,fail
HDDSN00196,CRSTR01T,2015-03-11 05:16:00,EGRWT0101,2015-03-11 09:12:26,2519.0,7872.0,2621.0,fail
HDDSN00197,CRSTR01A,2015-03-11 05:10:00,EGRWT0100,2015-03-11 06:13:45,2862.0,4118.0,3216.0,fail
HDDSN00199,CRSTR01S,2015-03-09 12:46:00,EGRWT0105,2015-03-09 14:04:05,3580.0,3587.0,1780.0,pass
HDDSN00200,CRSTR01T,2015-03-11 21:39:00,EGRWT0112,2015-03-11 23:51:38,1008.0,3666.0,6414.0,pass
HDDSN00201,CRSTR01T,2015-03-10 17:41:00,EGRWT0103,2015-03-10 20:12:06,1259.0,4712.0,4198.0,fail
HDDSN00202,CRSTR01M,2015-03-09 11:14:00,EGRWT0101,2015-03-09 12:25:45,1188.0,4789.0,5162.0,fail
HDDSN00203,CRSTR01M,2015-03-05 19:00:00,EGRWT0107,2015-03-05 20:19:05,3984.0,4894.0,5200.0,fail
HDDSN00205,CRSTR01C,2015-03-07 05:49:00,EGRWT0100,2015-03-07 07:40:18,3945.0,6145.0,2977.0,fail
HDDSN00206,CRSTR01Q,2015-03-05 06:38:00,EGRWT0113,2015-03-05 07:37:57,4631.0,5879.0,2729.0,pass
HDDSN00208,CRSTR01M,2015-03-05 03:15:00,EGRWT0112,2015-03-05 04:37:39,3399.0,4957.0,1690.0,pass
HDDSN00209,CRSTR01R,2015-03-07 05:42:00,EGRWT0103,2015-03-07 06:23:38,2360.0,2545.0,4388.0,fail
HDDSN00210,CRSTR01M,2015-03-08 13:41:00,EGRWT0111,2015-03-08 15:49:58,1074.0,6272.0,2240.0,pass
HDDSN00211,CRSTR01R,2015-03-09 22:31:00,EGRWT0106,2015-03-09 23:13:42,4195.0,5855.0,3815.0,pass
HDDSN00212,CRSTR01R,2015-03-07 03:11:00,EGRWT0114,2015-03-07 04:16:09,4746.0,3786.0,4435.0,pass
HDDSN00213,CRSTR01F,2015-03-07 23:02:00,EGRWT0105,2015-03-07 23:59:28,1303.0,5401.0,1605.0,fail
HDDSN00214,CRSTR01P,2015-03-10 15:43:00,EGRWT0112,2015-03-10 17:09:47,1147.0,2602.0,1852.0,pass
HDDSN00215,CRSTR01R,2015-03-09 04:28:00,EGRWT0110,2015-03-09 07:02:42,7576.0,4963.0,1407.0,fail
HDDSN00216,CRSTR01B,2015-03-10 10:02:00,EGRWT0113,2015-03-10 11:28:44,1286.0,6128.0,2369.0,pass
HDDSN00217,CRSTR01A,2015-03-05 13:02:00,EGRWT0103,2015-03-05 14:48:58,2504.0,3207.0,2958.0,pass
HDDSN00218,CRSTR01K,2015-03-11 11:26:00,EGRWT0104,2015-03-11 13:10:23,1808.0,3731.0,1184.0,pass
HDDSN00219,CRSTR01B,2015-03-10 19:23:00,EGRWT0102,2015-03-10 21:24:31,3601.0,2382.0,3192.0,pass
HDDSN00220,CRSTR01O,2015-03-08 10:30:00,EGRWT0114,2015-03-08 12:40:45,1290.0,2952.0,2821.0,pass
HDDSN00221,CRSTR01C,2015-03-08 05:06:00,EGRWT0103,2015-03-08 06:24:57,4613.0,2915.0,2791.0,pass
HDDSN00222,CRSTR01K,2015-03-06 08:29:00,EGRWT0105,2015-03-06 11:56:48,1010.0,5801.0,1224.0,pass
HDDSN00223,CRSTR01A,2015-03-07 01:01:00,EGRWT0112,2015-03-07 03:23:31,1403.0,3786.0,3841.0,fail
HDDSN00224,CRSTR01K,2015-03-08 14:56:00,EGRWT0113,2015-03-08 16:10:57,1514.0,6336.0,4717.0,fail
HDDSN00225,CRSTR01L,2015-03-11 05:34:00,EGRWT0102,2015-03-11 06:44:29,1243.0,4634.0,1657.0,pass
HDDSN00226,CRSTR01O,2015-03-08 22:44:00,EGRWT0108,2015-03-08 23:37:33,1257.0,4093.0,8002.0,fail
HDDSN00228,CRSTR01L,2015-03-06 22:05:00,EGRWT0106,2015-03-07 00:34:21,1111.0,4132.0,4791.0,pass
HDDSN00229,CRSTR01G,2015-03-09 09:17:00,EGRWT0103,2015-03-09 11:01:32,2123.0,2167.0,1297.0,pass
HDDSN00230,CRSTR01F,2015-03-09 06:49:00,EGRWT0108,2015-03-09 09:13:56,1177.0,7915.0,2299.0,pass
HDDSN00231,CRSTR01N,2015-03-05 20:58:00,EGRWT0112,2015-03-05 22:34:29,2389.0,5156.0,1445.0,pass
HDDSN00232,CRSTR01M,2015-03-08 22:30:00,EGRWT0107,2015-03-08 23:53:41,1029.0,4238.0,2248.0,pass
HDDSN00233,CRSTR01C,2015-03-08 04:09:00,EGRWT0100,2015-03-08 05:31:31,7770.0,3055.0,1791.0,fail
HDDSN00235,CRSTR01H,2015-03-08 12:30:00,EGRWT0100,2015-03-08 15:13:25,2213.0,3966.0,2247.0,fail
HDDSN00236,CRSTR01T,2015-03-09 01:20:00,EGRWT0108,2015-03-09 02:32:43,7840.0,3630.0,1256.0,fail
HDDSN00237,CRSTR01G,2015-03-10 14:30:00,EGRWT0101,2015-03-10 14:54:13,1838.0,3078.0,3092.0,pass
HDDSN00238,CRSTR01Q,2015-03-10 22:01:00,EGRWT0109,2015-03-10 22:59:38,1044.0,3850.0,8750.0,fail
HDDSN00239,CRSTR01S,2015-03-06 08:51:00,EGRWT0103,2015-03-06 10:20:30,1024.0,7994.0,2906.0,pass
HDDSN00240,CRSTR01J,2015-03-07 13:46:00,EGRWT0100,2015-03-07 15:12:21,2853.0,4590.0,3027.0,pass
HDDSN00241,CRSTR01H,2015-03-11 02:18:00,EGRWT0102,2015-03-11 05:10:21,1071.0,4673.0,1633.0,pass
HDDSN00242,CRSTR01A,2015-03-06 02:24:00,EGRWT0105,2015-03-06 04:32:55,1504.0,4268.0,4425.0,fail
HDDSN00243,CRSTR01O,2015-03-07 11:27:00,EGRWT0107,2015-03-07 12:49:48,1027.0,4201.0,2166.0,fail
HDDSN00244,CRSTR01F,2015-03-06 03:49:00,EGRWT0114,2015-03-06 05:19:55,3057.0,4634.0,6802.0,fail
HDDSN00245,CRSTR01B,2015-03-09 19:58:00,EGRWT0103,2015-03-09 21:20:22,1061.0,4180.0,2099.0,pass
HDDSN00247,CRSTR01M,2015-03-06 10:48:00,EGRWT0103,2015-03-06 11:47:42,8305.0,1528.0,2424.0,fail
HDDSN00248,CRSTR01B,2015-03-09 11:48:00,EGRWT0101,2015-03-09 13:39:32,1043.0,2615.0,4383.0,pass
HDDSN00249,CRSTR01S,2015-03-09 12:27:00,EGRWT0110,2015-03-09 15:06:56,8497.0,5371.0,1627.0,fail
HDDSN00251,CRSTR01C,2015-03-08 04:40:00,EGRWT0106,2015-03-08 05:18:50,1266.0,5501.0,8736.0,fail
